REGION,ACTIVIDAD_ECONOMICA,n_accidentes,tasa_permanente,prop_masculino,prop_operario,diversidad_formas,concentracion_forma,log_accidentes,unidad,cluster,PC1,PC2,cluster_dbscan
CALLAO,INDUSTRIAS MANUFACTURERAS,4695,55.76144834930778,91.28860489882854,10.947816826411076,10,69.96805111821087,3.6716355966021297,INDUSTRIAS MANUFACTURE · CALLAO,1,2.941703641235435,1.1880952258955941,0
CALLAO,NO DETERMINADO,176,35.22727272727273,97.1590909090909,27.27272727272727,10,40.909090909090914,2.24551266781415,NO DETERMINADO · CALLAO,1,0.6764830609621886,1.0882565768783778,0
CALLAO,"OTRAS ACTIV. SERV. COMUNITARIOS,SOCIALES Y PERSONALES",966,57.86749482401656,91.92546583850931,9.213250517598343,10,68.32298136645963,2.9849771264154934,OTRAS ACTIV. SERV. COM · CALLAO,1,2.9260287549002477,1.2782485478357788,0
CALLAO,PESCA,93,55.91397849462365,98.9247311827957,5.376344086021505,9,63.44086021505376,1.968482948553935,PESCA · CALLAO,1,2.5201828228189678,1.5665732854668286,0
CALLAO,SERVICIOS SOCIALES Y DE SALUD,119,22.689075630252102,26.05042016806723,0.0,10,69.74789915966386,2.0755469613925306,SERVICIOS SOCIALES Y D · CALLAO,2,2.604497109602491,-2.544664120464891,0
CALLAO,"TRANSPORTE, ALMACENAMIENTO Y COMUNICACIONES",2694,55.2709725315516,93.24424647364515,10.764662212323682,10,65.07052709725315,3.4303975913869666,"TRANSPORTE, ALMACENAMI · CALLAO",1,2.6532053712039882,1.2889998434446577,0
CUSCO,EXPLOTACIÎ DE MINAS Y CANTERAS,237,0.42194092827004215,95.35864978902954,34.59915611814346,10,26.160337552742618,2.374748346010104,EXPLOTACIÎ DE MINAS Y  · CUSCO,0,-1.2801440366570276,0.2113138406530689,0
HUANCAVELICA,EXPLOTACIÎ DE MINAS Y CANTERAS,60,0.0,98.33333333333333,86.66666666666667,9,38.333333333333336,1.7781512503836436,EXPLOTACIÎ DE MINAS Y  · HUANCAVELICA,0,-0.724043975127409,0.2677083436474584,0
HUANCAVELICA,SERVICIOS SOCIALES Y DE SALUD,90,0.0,16.666666666666664,0.0,7,55.55555555555556,1.954242509439325,SERVICIOS SOCIALES Y D · HUANCAVELICA,2,1.2069425567946421,-3.4569339872978087,0
ICA,"AGRICULTURA, GANADERA, CAZA Y SILVICULTURA",68,2.941176470588235,95.58823529411765,25.0,8,27.941176470588236,1.8325089127062364,"AGRICULTURA, GANADERA, · ICA",0,-1.1040726813328092,0.2753768378014741,0
ICA,EXPLOTACIÎ DE MINAS Y CANTERAS,79,1.2658227848101267,100.0,59.49367088607595,8,27.848101265822784,1.8976270912904414,EXPLOTACIÎ DE MINAS Y  · ICA,0,-1.2261646315220927,0.4299322949497402,0
ICA,INDUSTRIAS MANUFACTURERAS,116,3.4482758620689653,93.96551724137932,67.24137931034483,9,39.6551724137931,2.0644579892269186,INDUSTRIAS MANUFACTURE · ICA,0,-0.47773125449137827,0.1531374362495012,0
LA LIBERTAD,"ACTIVIDADES INMOBILIARIAS, EMPRESARIALES Y DE ALQUILER",118,23.728813559322035,83.05084745762711,22.88135593220339,10,45.76271186440678,2.0718820073061255,ACTIVIDADES INMOBILIAR · LA LIBERTAD,0,0.694206884889757,0.14534479086469324,0
LA LIBERTAD,"COMERCIO AL POR MAYOR Y AL POR MENOR, REP. VEHC. AUTOM.",84,34.523809523809526,95.23809523809523,35.714285714285715,9,40.476190476190474,1.9242792860618816,COMERCIO AL POR MAYOR  · LA LIBERTAD,1,0.6548249492892697,0.9874342079725916,0
LA LIBERTAD,CONSTRUCCIÎ,139,33.093525179856115,97.84172661870504,25.179856115107913,10,40.28776978417266,2.143014800254095,CONSTRUCCIÎ · LA LIBERTAD,1,0.5603370150923076,1.068248951688208,0
LA LIBERTAD,EXPLOTACIÎ DE MINAS Y CANTERAS,378,3.1746031746031744,99.20634920634922,77.24867724867724,10,37.83068783068783,2.5774917998372255,EXPLOTACIÎ DE MINAS Y  · LA LIBERTAD,0,-0.6474536897153628,0.3891307502743685,0
LA LIBERTAD,INDUSTRIAS MANUFACTURERAS,104,41.34615384615385,89.42307692307693,29.807692307692307,9,37.5,2.0170333392987803,INDUSTRIAS MANUFACTURE · LA LIBERTAD,1,0.8249766373122135,0.9164667271000634,0
LA LIBERTAD,"TRANSPORTE, ALMACENAMIENTO Y COMUNICACIONES",160,23.125,95.625,22.5,10,41.875,2.2041199826559246,"TRANSPORTE, ALMACENAMI · LA LIBERTAD",0,0.3134219120795757,0.7102578993437986,0
LIMA,"ACTIVIDADES INMOBILIARIAS, EMPRESARIALES Y DE ALQUILER",16582,19.985526474490413,75.31660837052226,21.245929320950427,10,36.449161741647565,4.219636910808963,ACTIVIDADES INMOBILIAR · LIMA,0,0.1951257275489953,-0.24290546291835147,0
LIMA,ADMINISTRACIÎ PLICA Y DEFENSA,2632,8.206686930091186,67.66717325227964,17.211246200607903,10,31.041033434650455,3.4202858849419178,ADMINISTRACIÎ PLICA Y · LIMA,0,-0.39586778602433453,-0.8505673527225438,0
LIMA,"AGRICULTURA, GANADERA, CAZA Y SILVICULTURA",626,16.93290734824281,82.74760383386581,20.287539936102235,10,40.894568690095845,2.7965743332104296,"AGRICULTURA, GANADERA, · LIMA",0,0.21188800031256771,-0.013069383446600224,0
LIMA,"COMERCIO AL POR MAYOR Y AL POR MENOR, REP. VEHC. AUTOM.",9315,16.704240472356414,82.65163714439076,21.427804616210413,10,34.46054750402576,3.9691828592322613,COMERCIO AL POR MAYOR  · LIMA,0,-0.11744815053024055,0.011416535131265677,0
LIMA,CONSTRUCCIÎ,11063,14.390310042483955,95.50754768146072,23.483684353249572,10,32.658410919280485,4.043872912391425,CONSTRUCCIÎ · LIMA,0,-0.4583771882888377,0.5346354972687601,0
LIMA,ENSEANZA,329,12.158054711246201,72.94832826747721,21.88449848024316,10,24.924012158054712,2.5171958979499744,ENSEANZA · LIMA,0,-0.6305845398998075,-0.4834227248991134,0
LIMA,EXPLOTACIÎ DE MINAS Y CANTERAS,4629,4.255778785914885,93.69194210412616,46.381507885072374,10,30.913804277381722,3.6654871807828107,EXPLOTACIÎ DE MINAS Y  · LIMA,0,-0.8834299591142925,0.20817751388617403,0
LIMA,HOTELES Y RESTAURANTES,3034,17.435728411338168,64.76598549769281,10.975609756097562,10,39.41990771259064,3.4820155764507117,HOTELES Y RESTAURANTES · LIMA,0,0.3910495190109283,-0.7922694986730774,0
LIMA,INDUSTRIAS MANUFACTURERAS,20526,16.028451719770047,88.91649615122283,23.911137094416837,10,39.549839228295816,4.312304324568706,INDUSTRIAS MANUFACTURE · LIMA,0,0.03158091076684637,0.24575250365941656,0
LIMA,INTERMEDIACIÎ FINANCIERA,164,18.29268292682927,72.5609756097561,26.21951219512195,10,32.31707317073171,2.214843848047698,INTERMEDIACIÎ FINANCIE · LIMA,0,-0.036279263704009884,-0.3859094397020537,0
LIMA,NO DETERMINADO,212,18.39622641509434,89.62264150943396,15.566037735849056,10,40.09433962264151,2.326335860928751,NO DETERMINADO · LIMA,0,0.13406154657749436,0.3338305932516438,0
LIMA,"OTRAS ACTIV. SERV. COMUNITARIOS,SOCIALES Y PERSONALES",4693,15.810782015768165,84.061367994886,20.09375665885361,10,37.75836352013637,3.6714505542124947,OTRAS ACTIV. SERV. COM · LIMA,0,-0.0024718446910648294,0.03394248990258857,0
LIMA,PESCA,339,59.587020648967545,87.61061946902655,10.32448377581121,9,61.35693215339233,2.530199698203082,PESCA · LIMA,1,2.6946641507717497,1.1669774237928199,0
LIMA,SERVICIOS SOCIALES Y DE SALUD,5465,12.387923147301008,28.106129917657825,4.190301921317475,10,56.7612076852699,3.7375901662857216,SERVICIOS SOCIALES Y D · LIMA,2,1.5594893201411686,-2.6428344105095873,0
LIMA,"SUMINISTRO DE ELECTRICIDAD, GAS Y AGUA",308,13.311688311688311,88.63636363636364,26.623376623376622,10,25.324675324675322,2.4885507165004443,SUMINISTRO DE ELECTRIC · LIMA,0,-0.7745133679148848,0.24121584224390283,0
LIMA,"TRANSPORTE, ALMACENAMIENTO Y COMUNICACIONES",9206,17.4125570280252,90.18031718444493,20.3019769715403,10,33.80404084292852,3.9640709705579553,"TRANSPORTE, ALMACENAMI · LIMA",0,-0.22354022978268231,0.36761586509463107,0
LORETO,EXPLOTACIÎ DE MINAS Y CANTERAS,68,1.4705882352941175,91.17647058823529,44.11764705882353,9,38.23529411764706,1.8325089127062364,EXPLOTACIÎ DE MINAS Y  · LORETO,0,-0.5829349540673321,-0.01306864796184731,0
LORETO,INDUSTRIAS MANUFACTURERAS,114,52.63157894736842,100.0,37.719298245614034,8,56.14035087719298,2.0569048513364727,INDUSTRIAS MANUFACTURE · LORETO,1,2.0232214320827384,1.57094396560458,0
LORETO,SERVICIOS SOCIALES Y DE SALUD,84,0.0,42.857142857142854,19.047619047619047,9,26.190476190476193,1.9242792860618816,SERVICIOS SOCIALES Y D · LORETO,2,-0.6071492266820161,-2.1345648266701542,0
MOQUEGUA,EXPLOTACIÎ DE MINAS Y CANTERAS,163,1.8404907975460123,96.31901840490798,84.66257668711657,10,26.993865030674847,2.2121876044039577,EXPLOTACIÎ DE MINAS Y  · MOQUEGUA,0,-1.2003495389284338,0.28525892800968666,0
PASCO,EXPLOTACIÎ DE MINAS Y CANTERAS,201,0.9950248756218906,94.5273631840796,75.12437810945273,10,42.78606965174129,2.303196057420489,EXPLOTACIÎ DE MINAS Y  · PASCO,0,-0.41564983886833584,0.09959106839884001,0
PASCO,PESCA,50,6.0,72.0,52.0,10,26.0,1.6989700043360187,PESCA · PASCO,0,-0.7838374043679814,-0.6863565961843952,0
PIURA,"ACTIVIDADES INMOBILIARIAS, EMPRESARIALES Y DE ALQUILER",495,2.2222222222222223,86.46464646464646,15.555555555555555,10,24.444444444444443,2.694605198933569,ACTIVIDADES INMOBILIAR · PIURA,0,-1.185641617249159,-0.12975049190410018,0
PIURA,"AGRICULTURA, GANADERA, CAZA Y SILVICULTURA",183,1.092896174863388,93.98907103825137,36.6120218579235,10,22.950819672131146,2.2624510897304293,"AGRICULTURA, GANADERA, · PIURA",0,-1.3991541103144733,0.18450023241270302,0
PIURA,"COMERCIO AL POR MAYOR Y AL POR MENOR, REP. VEHC. AUTOM.",546,0.5494505494505495,83.15018315018315,12.637362637362637,10,20.32967032967033,2.7371926427047373,COMERCIO AL POR MAYOR  · PIURA,0,-1.408155727649427,-0.2971971534847265,0
PIURA,CONSTRUCCIÎ,677,0.7385524372230428,96.89807976366322,26.88330871491876,10,22.008862629246675,2.8305886686851442,CONSTRUCCIÎ · PIURA,0,-1.4970338173705713,0.3100177765804712,0
PIURA,EXPLOTACIÎ DE MINAS Y CANTERAS,151,0.6622516556291391,98.01324503311258,15.894039735099339,10,29.13907284768212,2.1789769472931693,EXPLOTACIÎ DE MINAS Y  · PIURA,0,-1.1570100999911075,0.31945313651886426,0
PIURA,HOTELES Y RESTAURANTES,59,0.0,83.05084745762711,18.64406779661017,10,30.508474576271187,1.7708520116421442,HOTELES Y RESTAURANTES · PIURA,0,-0.9163430533407011,-0.3700382821189772,0
PIURA,INDUSTRIAS MANUFACTURERAS,694,0.2881844380403458,89.9135446685879,19.45244956772334,10,22.19020172910663,2.841359470454855,INDUSTRIAS MANUFACTURE · PIURA,0,-1.4126723476050254,-0.012939177477964022,0
PIURA,"OTRAS ACTIV. SERV. COMUNITARIOS,SOCIALES Y PERSONALES",114,4.385964912280701,93.85964912280701,21.929824561403507,10,20.175438596491226,2.0569048513364727,OTRAS ACTIV. SERV. COM · PIURA,0,-1.4191284047924917,0.276508889878287,0
PIURA,PESCA,96,0.0,95.83333333333334,15.625,9,28.125,1.9822712330395684,PESCA · PIURA,0,-1.2029382040331185,0.21126936862622459,0
PIURA,SERVICIOS SOCIALES Y DE SALUD,66,1.5151515151515151,36.36363636363637,7.575757575757576,8,33.33333333333333,1.8195439355418688,SERVICIOS SOCIALES Y D · PIURA,2,-0.11025186906047248,-2.4235532655012575,0
PIURA,"TRANSPORTE, ALMACENAMIENTO Y COMUNICACIONES",456,0.8771929824561403,96.05263157894737,13.37719298245614,10,20.394736842105264,2.658964842664435,"TRANSPORTE, ALMACENAMI · PIURA",0,-1.5619260009605986,0.28456168676868876,0
TACNA,CONSTRUCCIÎ,52,5.769230769230769,94.23076923076923,46.15384615384615,9,21.153846153846153,1.7160033436347992,CONSTRUCCIÎ · TACNA,0,-1.3256261966870144,0.32258101340466316,0
TACNA,EXPLOTACIÎ DE MINAS Y CANTERAS,81,0.0,98.76543209876543,54.32098765432099,10,25.925925925925924,1.9084850188786497,EXPLOTACIÎ DE MINAS Y  · TACNA,0,-1.3514848530483057,0.35347452267828694,0
TACNA,SERVICIOS SOCIALES Y DE SALUD,75,1.3333333333333335,36.0,1.3333333333333335,8,40.0,1.8750612633917,SERVICIOS SOCIALES Y D · TACNA,2,0.22211657178640928,-2.480059623819639,0
TUMBES,SERVICIOS SOCIALES Y DE SALUD,54,5.555555555555555,24.074074074074073,1.8518518518518516,9,64.81481481481481,1.7323937598229686,SERVICIOS SOCIALES Y D · TUMBES,2,1.772196304986394,-3.037318303829128,0
